runn, x, y, z 
25714, 8.972810, 3.315427, 17.764238 
25715, 9.144607, 2.969500, 18.143530 
25716, 4.138749, 2.689379, 0.000771 
25717, 4.195796, 2.704771, 1.608644 
25718, 4.243118, 2.725662, 3.340175 
25719, 4.300471, 2.736147, 5.091495 
25720, 4.395877, 2.702675, 6.915992 
25721, 4.360126, 2.566427, 8.808452 
25722, 4.477856, 2.523655, 10.816049 
25723, 6.905409, 3.841801, 12.501890 
25724, 7.952834, 4.312994, 13.851836 
25725, 8.276474, 4.380916, 14.940088 
25726, 8.420072, 4.361096, 15.821200 
25727, 8.632340, 4.155282, 16.577478 
25728, 8.652340, 3.893929, 17.200081 
25729, 8.855053, 3.584220, 17.702484 
25730, 9.033427, 3.254736, 18.080448 
25731, 4.105342, 2.921082, 0.001531 
25732, 4.110518, 2.897339, 1.581310 
25733, 4.152131, 2.916456, 3.282586 
25734, 4.181535, 2.910978, 5.003306 
25735, 4.292757, 2.897192, 6.795926 
25736, 4.254745, 2.759875, 8.655319 
25737, 4.365734, 2.723819, 10.627838 
25738, 6.424721, 3.977229, 12.284224 
25739, 7.752858, 4.690896, 13.610582 
25740, 8.070416, 4.778145, 14.679820 
25741, 8.217092, 4.763102, 15.545536 
25742, 8.438581, 4.562860, 16.288599 
25743, 8.464192, 4.311272, 16.900324 
25744, 8.674498, 4.022341, 17.393950 
25745, 8.860971, 3.718001, 17.765308 
25746, 3.887604, 3.138172, 0.002624 
25747, 3.925797, 3.132872, 1.578053 
25748, 3.966570, 3.154339, 3.274645 
25749, 4.017411, 3.168778, 4.990626 
