runn, x, y, z 
46984, -4.440078, 4.035555, 23.834829 
46985, -4.426655, 4.050275, 24.124323 
46986, -4.426971, 4.049929, 24.269201 
46987, -5.091121, 3.174978, 16.394089 
46988, -5.066694, 3.213816, 16.671150 
46989, -5.146645, 3.084161, 17.232113 
46990, -5.170865, 3.043379, 17.898550 
46991, -5.145881, 3.085435, 18.552505 
46992, -5.109302, 3.145637, 19.686361 
46993, -5.062126, 3.221007, 21.283909 
46994, -5.152955, 3.073606, 22.743559 
46995, -5.150673, 3.077428, 23.633644 
46996, -5.143183, 3.089930, 24.161409 
46997, -5.128738, 3.113847, 24.462776 
46998, -5.128996, 3.113423, 24.613600 
46999, -5.462643, 2.481841, 16.461815 
47000, -5.436587, 2.538409, 16.725540 
47001, -5.505126, 2.386125, 17.259499 
47002, -5.526695, 2.335731, 17.893854 
47003, -5.509671, 2.375611, 18.516329 
47004, -5.476247, 2.451677, 19.595604 
47005, -5.433989, 2.543966, 21.116249 
47006, -5.515313, 2.362482, 22.505634 
47007, -5.515040, 2.363119, 23.352873 
47008, -5.508586, 2.378125, 23.855232 
47009, -5.495270, 2.408735, 24.142092 
47010, -5.495476, 2.408265, 24.285654 
47011, -5.608658, 2.131420, 16.500334 
47012, -5.583341, 2.196885, 16.762232 
47013, -5.644721, 2.033992, 17.292494 
47014, -5.664244, 1.978974, 17.922457 
47015, -5.650696, 2.017334, 18.540621 
47016, -5.620087, 2.101100, 19.612423 
47017, -5.581514, 2.201522, 21.122540 
47018, -5.655566, 2.003639, 22.502304 
47019, -5.655941, 2.002583, 23.343678 
47020, -5.650181, 2.018774, 23.842558 
47021, -5.637965, 2.052644, 24.127432 
47022, -5.638144, 2.052154, 24.270000 
47023, -5.673490, 1.952310, 16.571974 
47024, -5.648926, 2.022284, 16.837856 
47025, -5.706313, 1.854184, 17.376184 
47026, -5.724618, 1.796871, 18.015732 
47027, -5.712715, 1.834363, 18.643299 
47028, -5.683839, 1.921971, 19.731407 
47029, -5.647439, 2.026433, 21.264496 
47030, -5.717180, 1.820400, 22.665251 
47031, -5.717794, 1.818468, 23.519423 
47032, -5.712432, 1.835242, 24.025892 
47033, -5.700906, 1.870741, 24.315100 
47034, -5.701070, 1.870241, 24.459837 
47035, -5.713700, 1.836705, 16.559305 
